Depth_ft,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,Chemofacies
7782,2.12,5.48,0.38,0,1.19,0.42,0.75,38.61,0.13,0,0,0,0,0,0,25.78,16.85,9.1,20.91,0,5
7782.6,7.3,23.7,2.52,0.44,4.36,1.58,0.69,4.82,0.02,0,0,0,0,0,0,0,0,57.66,135.43,0,3
7783,1.04,2.62,0.11,0,0,0.66,0,44.49,0.15,0,0,0,0,0,0,0,0,0,0,0,5
7783.6,4.12,11.97,1.39,0,3.66,0.92,0.67,19.92,0.05,0,0,0,0,0,0,0,0,48.77,104.86,0,3
7784,8.6,26.01,2.6,0.46,4.26,2.15,0.9,4.83,0.03,0,0,0,0,0,0,72.09,0,56.94,149.79,27.11,3
7784.6,1.31,3.61,0.14,0,0,0.31,0.61,42.6,0.14,0,0,0,0,0,0,0,0,0,0,0,5
7785,1.74,4.91,0.48,0,1.27,0.45,0,38.13,0.13,0,0,0,0,0,0,15.75,15.13,8.03,18,0,5
7785.6,9,25.89,2.67,0,4.72,1.28,1.26,4.01,0.02,0,0,0,0,0,0,101.49,0,58.32,142.14,17.37,3
7786.1,8.04,23.07,2.3,0,3.96,1.92,0.76,10.22,0.06,0,0,0,0,0,0,89.96,22.99,50.58,108.32,23.34,3
7787.1,7.16,22.07,2.48,0,4.2,2.05,0.68,8.65,0.04,0.08,0,0,0,0,0,0,0,50.69,111.39,0,3
7787.3,6.72,21.79,2.47,0.41,4.1,1.07,0.69,7.01,0.03,0,0,0,0,0,0,79.3,0,51.2,121.95,0,3
7787.6,9.42,26.97,2.78,0.5,4.54,2.53,1.31,5.54,0.02,0,0,0,0,0,0,81.95,0,61.22,128.43,24.77,3
7788,6.35,18.39,2.41,0,3.96,1.83,0.81,10.65,0.06,0,0,0,14.69,0,77.23,89.58,15.1,53.47,116.28,26.48,1
7788.6,9.88,25.56,3.08,0,4.26,2.93,1.14,3.64,0.02,0,0,0,7.36,0,51.09,192.48,29.26,64.75,182.53,32.39,1
7789,6.08,18.75,2.35,0,4.09,1.21,0.7,11.7,0.04,0,0,0,0,0,0,0,0,48.96,106.42,0,3
7789.6,8.7,26.9,3.01,0.51,4.66,2.26,1.35,4.48,0.03,0,0,0,0,68.59,0,76.55,16.69,56.13,126.72,27.58,3
7790,9.12,25.93,2.79,0.51,4.66,2.14,1.35,4.87,0.03,0,0,0,0,84.71,30.86,79.41,0,58.28,131.08,27.77,3
7790.6,8.8,25.73,2.75,0,4.21,1.79,0.91,5.35,0.03,0,0,0,0,69.97,0,72.5,13.66,60.51,121.36,23.87,3
7791,8.99,26.7,2.44,0.44,4.2,1.43,0.86,6.45,0.03,0,0,0,0,0,0,70.61,0,54.46,129.59,20.07,3
7791.6,10.4,27.1,2.99,0.45,4.43,1.19,1.68,4.79,0.02,0,0,0,0,0,0,73.29,0,61.91,120.39,12.59,3
7792,10.08,27.09,2.91,0,4.66,1.48,1.3,4.43,0.02,0,0,0,0,0,0,0,0,61.72,131.44,0,3
7792.6,8.3,26.5,2.14,0,4.43,2.01,1.12,6.79,0.03,0,0,0,0,70.67,0,87.92,16.17,47.04,139,21.01,3
7793,6.81,19.67,2.02,0,3.69,2.06,1.31,13.28,0.05,0,0,0,0,0,0,0,0,44.4,92.62,0,3
7793.6,7.37,22.8,2.75,0.51,4.72,2.49,0.42,3.79,0.02,0,0,0,0,0,0,82.66,24.27,58.38,123.25,25.58,3
7794,8.07,20.8,2.03,0,4.51,2.63,0.96,13.78,0.05,0,0,0,0,0,0,76.91,29.9,49.53,103.3,21.99,3
7794.6,8.89,25.93,2.86,0.51,4.78,1.94,1.17,4.31,0.03,0,0,0,0,0,0,84.74,19.63,59.21,121.96,13.38,3
7795,8.95,25.03,2.6,0,4.12,1.35,1.04,6.62,0.04,0,0,0,0,0,0,65.69,19.03,57.77,128.18,15.39,3
7795.6,5.97,18.94,2.56,0,5.41,3.32,0.96,7.99,0.03,0.09,0,0,0,0,0,0,0,55,124.91,0,3
7796,8.93,25.39,2.67,0.42,4.52,2.84,1.06,4.37,0.03,0,0,0,0,76.91,24.76,106.02,14.37,59.9,132.46,24.45,3
7796.6,5.66,15.76,1.48,0,3.49,1.65,1.33,19.01,0.07,0,0,0,0,0,0,241.39,0,41.64,94.12,0,3
7797,8.97,26.04,2.66,0.48,4.44,2.62,1.01,5.2,0.03,0.04,0,0,0,0,45.85,80.7,0,57.3,123.58,28.2,3
7797.6,6.66,21.54,2.85,0.49,4.77,2.12,0.8,4.26,0.02,0.02,0,0,0,0,0,0,0,60.9,126.03,0,3
7798,7.56,21.68,2.49,0,4.4,2.1,0.6,9.1,0.04,0.06,0,0,0,0,0,78.97,0,50.69,122.38,30.91,3
7798.6,1.51,4.37,0.27,0,1.1,0.39,0,41.11,0.12,0,0,0,0,0,0,0,0,0,0,0,5
7799,7.03,20.3,2.53,0,3.99,1.15,0.94,9.41,0.04,0,0,0,0,0,0,0,0,52.5,101.76,0,3
7799.6,8.94,25.62,2.67,0.44,4.31,2.39,1.17,5.94,0.03,0,0,0,0,0,0,93.41,0,58.44,125.64,27.59,3
7800,7.45,21.73,2.41,0,4.12,2.39,0,4.64,0.03,0,0,0,0,0,0,75.04,0,69.23,115,10.64,3
7800.6,3.6,9.77,0.55,0,3.14,1.18,0.78,31.09,0.07,0,0,0,0,0,0,80.24,0,33.14,72.78,17.68,3
7801,9.39,25.78,2.92,0,4.62,2.32,1.36,4.28,0.03,0.04,0,0,0,0,0,0,0,61.1,134.95,0,3
7802,9.52,25.33,2.75,0,2.52,2.27,1.18,15.33,0.1,0,0,0,0,0,0,38.4,0,19.66,54.49,0,3
7802.6,8.17,23.44,2.69,0,4.08,1,1.16,7.15,0.04,0,0,0,0,0,0,74.29,0,52.63,121.84,15.23,3
7803,9.15,26.1,2.86,0,4.4,1.89,1.06,4.79,0.03,0,0,0,0,0,38.55,91.23,0,60.74,126.7,17.87,3
7803.6,6.44,21.57,2.27,0.44,3.73,1.54,0.8,9.13,0.05,0,0,0,0,0,0,0,0,45.46,147.85,0,3
7804,9.09,24.79,2.83,0,4.41,1.4,1.34,6.23,0.03,0,0,0,0,0,0,93.06,0,57.1,122.51,0,3
7804.6,2.63,7.16,0.61,0,2.01,0.81,0.92,35.52,0.1,0,0,0,0,0,0,34.82,0,11.58,37.5,12.38,5
7805,4.62,13.8,1.21,0,2.89,1.39,1.05,24.51,0.07,0,0,0,0,0,0,50.57,0,27.71,70.96,17.67,3
7805.6,8.2,23.58,2.91,0,4.33,0.93,0.85,5.55,0.04,0.08,0,0,0,0,0,0,0,61.76,118.91,0,3
7806,7.24,24.46,2.12,0,3.57,1.47,0.75,9.92,0.05,0,0,0,0,0,0,65.33,0,45.45,126.71,13.77,3
7806.6,2.4,6.78,0.62,0,1.78,0.52,0,35.81,0.09,0,0,0,0,0,50.4,22.95,0,11.85,30.8,0,5
7807,7.54,22.75,2.59,0,4.27,2.1,0.94,7.18,0.04,0.03,0,0,0,0,0,81.52,0,54.21,122.65,22.08,3
7807.6,9.3,26.3,3.37,0.5,4.1,2.49,0.89,6.51,0.03,0,0,0,0,0,0,81.68,13.1,55.4,119.62,17.1,3
7808,9.98,26.13,2.87,0,4.38,1.73,1.13,6.31,0.04,0,0,0,0,0,0,82.3,0,58.33,119.13,22.38,3
7808.6,8.21,24.86,2.46,0,4.1,1.49,1.18,6.98,0.04,0,0,0,0,0,0,81.45,0,51.87,119.14,17.25,3
7809,8.85,25.54,2.79,0,4.46,2.23,1.1,5.21,0.03,0,0,0,0,0,0,79.25,0,60.55,128.82,18.29,3
7809.6,8.98,25.75,2.95,0.48,4.22,2.24,1.19,5.03,0.04,0,0,0,0,0,0,0,0,57.69,122.32,0,3
7810,8.65,24.62,2.74,0,4.5,2.99,0.89,5.45,0.03,0,0,0,0,0,0,0,0,58.52,139.04,0,3
7810.6,9.8,24.97,2.91,0,4.58,1.88,1.25,6.67,0.04,0.09,0,0,0,0,0,80.16,0,60.57,123.34,13.05,3
7811,9.26,25.06,2.77,0,4.27,2.03,1.05,6.17,0.04,0,0,0,0,0,0,73.15,0,58.68,117.01,10.51,3
7811.6,9.52,26.4,2.95,0.52,4.51,2.18,0.91,3.96,0.03,0,0,0,0,0,0,69.65,0,62.87,122.39,13.17,3
7812,8.32,23.25,2.65,0,4.04,1.73,0.91,6.95,0.04,0,0,0,0,0,33.06,71.38,0,57.52,120.12,15.57,3
7812.6,5,12.96,0.94,0,2.67,1.12,0.67,28.09,0.09,0,0,0,0,0,0,34.25,0,26.1,66.73,12.1,3
7813,4.19,11.37,0.95,0,2.54,0.79,0.68,28.02,0.09,0,0,0,0,0,0,56.81,0,24.98,55.22,9.83,3
7813.6,9.07,25.05,2.85,0,4.25,2.58,1.14,5.56,0.03,0,0,0,0,0,0,0,0,57.32,122.11,0,3
7814,4.39,12.87,1.32,0,2.95,1.51,0.88,23.59,0.08,0,0,0,0,0,0,39.48,0,29.8,71.26,22.88,3
7814.6,1.02,2.79,0.16,0,1.01,0.41,0,43.25,0.14,0,0,0,0,0,0,0,0,0,0,0,5
7815,8.16,23.93,2.68,0.47,4.47,1.92,0.89,5.64,0.03,0,0,0,0,0,0,97.1,0,58.7,143.25,28.95,3
7815.6,8.47,25.24,2.64,0,4.65,2.05,0.9,5.47,0.03,0,0,0,0,0,41.83,90.24,0,56.07,140.71,25.09,3
7816,9.03,25.96,2.76,0.49,4.62,1.69,1,4.42,0.03,0,0,0,0,87.78,0,78.77,23.2,59.1,145.75,17.96,3
7816.6,8.56,23.2,2.26,0,4.12,2.28,1.4,10.36,0.04,0,0,0,0,0,0,150.14,0,50.43,109.97,15.67,3
7817,7.15,19.88,2.49,0,4.61,2.07,0.71,5.48,0.03,0,0,0,0,0,0,88.87,0,58.41,118.49,15.56,3
7817.6,3.42,7.55,0.28,0,1.44,0.75,0.68,42.34,0.1,0,0,0,0,0,0,36.24,0,3.36,9.01,0,5
7818,9.51,25.44,3.02,0,4.3,1.59,0.73,4.59,0.03,0,0,0,0,0,0,78.26,0,61.29,132.14,10,3
7818.6,8.67,23.93,2.72,0,4.34,1.78,1.24,6.21,0.03,0,0,0,0,0,0,78.75,0,57.14,135.54,24.42,3
7819,6.04,14.64,0.6,0,1.76,1.33,1.46,36.52,0.13,0,0,0,0,0,0,20.88,0,11.22,22.61,14.89,5
7819.6,9.47,25.13,2.74,0.48,4.55,1.13,1.47,5.69,0.03,0,0,0,0,0,0,83.41,0,58.6,132.61,21.26,3
7820,7.87,21.82,2.43,0,3.97,1.7,0.99,11.78,0.04,0,0,0,0,0,0,0,0,48.76,109.44,0,3
7820.6,8.75,24.62,2.59,0,4.22,1.72,1.06,7.5,0.04,0,0,0,0,0,0,0,0,49.82,130.65,0,3
7821,7.83,23.38,2.62,0,4.31,1.89,0.93,6.6,0.04,0,0,0,0,0,0,0,0,57.24,134.67,0,3
7821.6,10.27,25.84,2.89,0,4.93,2.78,1.07,6.26,0.04,0,0,0,0,0,0,0,0,63.11,113.7,0,3
7822,7.17,22.06,2.45,0,4.04,2.18,0.69,7.65,0.04,0,0,0,0,0,0,72.45,16.82,53.12,109.77,18.02,3
7823,8.44,22.86,2.38,0,4.2,1.77,1.04,9.93,0.04,0,0,0,0,0,28.07,72.2,0,53.11,114.02,26.96,3
7823.6,8.22,22.95,2.3,0,3.88,1.37,1,10.86,0.04,0,0,0,0,0,0,0,0,50.64,125.42,0,3
7824,2.54,6.78,0.69,0,0.92,0.28,0.6,37.13,0.03,0,0,0,0,0,0,17.29,0,12.56,28.98,0,5
7824.6,9.53,24.43,2.74,0,3.96,1.69,1.35,8.51,0.04,0,0,0,0,0,0,0,0,52.69,130.37,0,3
7825,2.96,8.15,0.53,0,1.77,0.44,0.54,37.64,0.09,0,0,0,0,0,0,19.81,15.96,15.16,36.31,11.67,5
7826,8.66,24.24,2.75,0,4.43,2.31,1.53,6.42,0.03,0,0,0,0,0,0,262.82,0,57.5,110.47,0,3
7826.6,9.61,24.95,2.88,0,3.97,1,1.22,6.63,0.03,0,0,0,0,0,0,0,0,58.25,121.9,0,3
7827,7.62,18.88,2.17,0,3.34,1.46,1.06,15.09,0.05,0,0,0,0,0,0,0,0,48.41,113.89,0,3
7827.6,4.42,13.59,2.28,0,3.49,1,1.03,13.04,0.05,0,0,0,0,0,0,0,0,49.1,110.71,0,3
7828,6.91,19.87,2.24,0,4,1.77,1.35,10.1,0.04,0,0,0,0,0,0,69.91,0,57.84,111.47,17.69,3
7828.6,7.66,20.89,2.17,0,3.5,1.46,1.12,13.32,0.06,0,0,0,0,0,0,0,0,49.52,109.74,0,3
7829,7.34,21.66,2.43,0,3.9,1.49,0.84,9.67,0.05,0,0,0,0,99.31,0,76.45,0,50.12,120.48,26.23,3
7829.6,8.13,22.99,2.68,0,3.99,1.64,1.24,7.4,0.04,0,0,0,0,0,0,77.47,0,54.98,117.89,22.6,3
7830,5.11,14.26,1.34,0,2.99,0.7,0.72,23.62,0.05,0,0,0,0,0,0,361.22,0,34.55,71.75,0,3
7830.6,6.87,18.45,2.19,0,3.5,0.85,0.96,15.84,0.04,0,0,0,0,0,0,57.67,0,41.62,85.86,20.46,3
7831,8.1,22.33,2.75,0,4.23,2.23,0.98,7.52,0.03,0,0,0,0,0,0,70.05,0,55.46,123.86,26.94,3
7831.6,7.48,20.94,2.22,0,3.94,2.03,0.81,11.54,0.05,0,0,0,0,0,0,70.1,0,47.98,103.74,26.1,3
7832,8.68,23.89,2.76,0,4.04,2.07,1.23,7.3,0.03,0,0,0,0,0,0,80.52,0,56.7,115.55,34.35,3
7832.6,8.66,21.88,2.28,0,3.82,1.33,0.9,13.56,0.05,0,0,0,0,0,0,68.37,0,45.85,94.29,21.65,3
7833,6.83,19.36,2.19,0,3.75,1.59,0.65,12.31,0.05,0,0,0,0,0,0,63.36,0,46.2,101.58,26.89,3
7833.6,7.89,20.63,2.51,0,3.9,1.44,1.19,12.31,0.04,0,0,0,0,0,0,0,0,48.45,98.19,0,3
7834,8.5,22.66,2.54,0.43,4.34,1.59,1.32,8.95,0.03,0,0,0,0,73.23,0,72.75,0,55.23,109.33,22.46,3
7834.6,7.71,22.14,2.68,0,4.16,1.46,0.82,7.62,0.03,0,0,0,0,0,0,75.31,17.25,53.14,112.43,22.69,3
7835,5.4,15.12,1.65,0,2.81,0.78,0.95,22.27,0.05,0,0,0,0,0,0,52.07,0,30.54,61.3,16.45,3
7835.6,6.74,20.22,2.29,0,3.86,1.8,0.7,10.62,0.04,0,0,0,0,0,0,56.38,0,51.33,118.99,25.97,3
7836,8.37,22.91,2.54,0,3.86,1.4,0.88,9.58,0.04,0,0,0,0,0,0,70.1,0,51.08,112.48,17.85,3
7836.6,8.05,22.74,2.67,0,3.8,1.49,0.86,8.56,0.03,0,0,0,6.49,55.19,20.3,69.58,15.54,53.47,110.99,22.06,3
7837,8.26,23.09,2.68,0,4.1,1.87,0.86,8.05,0.03,0,0,0,0,0,0,64.15,17.54,53.97,109.21,28.28,3
7837.6,7.98,21.33,2.3,0,3.78,1.48,1.04,11.85,0.04,0,0,0,0,0,0,57.45,0,46.59,105.1,24.62,3
7838,6.93,18.57,1.94,0,3.75,1.6,1.06,16.61,0.05,0,0,0,0,0,0,57.06,0,39.2,84.54,26.51,3
7838.6,8.13,23.57,2.52,0,3.77,2.31,1.15,8.16,0.03,0,0,0,0,0,0,0,0,52.44,121.39,0,3
7839,7.32,20.13,2.13,0,3.56,1.26,1.44,14.25,0.05,0,0,0,0,0,0,0,0,44.3,96.87,0,3
7839.6,8.85,23.54,2.46,0,3.95,1.69,1.81,9.02,0.04,0,0,0,0,0,0,0,0,52.9,112.28,0,3
7840,8.72,24.24,2.55,0,4.05,1.8,1.31,7.69,0.03,0,0,0,0,0,0,60.3,0,52.95,107.7,34.23,3
7840.6,4.07,13.7,2.23,0,3.79,1.08,0.51,13.75,0.04,0,0,0,0,0,0,67.05,0,49.58,103.01,25.87,3
7841,8.01,22.79,2.61,0,4.03,1.63,0.79,8.57,0.03,0,0,0,0,0,0,0,0,54.57,118.15,0,3
7841.6,8.46,23.53,2.7,0,3.94,1.56,1,8.14,0.03,0,0,0,0,0,0,0,0,54.03,114.11,0,3
7842,8.35,23.54,2.41,0,3.97,1.67,1.21,9.82,0.03,0,0,0,0,0,0,0,0,50.81,110.29,0,3
7842,9.24,25.63,2.68,0,4.04,1.71,1.34,7.25,0.03,0,0,0,0,0,0,0,0,55.25,109.13,0,3
7843,8.42,25.78,2.63,0,4.26,2.96,0.88,6.07,0.04,0.09,0,0,0,0,38.18,84.39,0,51.33,151.97,20.7,3
7843.6,9.2,24.88,2.85,0,4.11,1.77,1.08,7.43,0.03,0,0,0,0,0,0,85.09,0,54.63,110.38,26.43,3
7844,8.66,23.21,2.42,0,3.72,0.87,1.16,12.06,0.04,0,0,0,0,0,0,81.3,0,47.44,96.82,17.85,3
7844.6,9.1,25.6,2.75,0,4.05,1.35,1.07,7.26,0.03,0,0,0,0,81.77,0,106.17,0,55.87,118.02,24.63,3
7845,7.93,24.08,2.66,0,3.77,0.95,0.97,6.22,0.02,0,0,0,0,0,30.7,96.66,0,59.97,117.71,17.5,3
7845.6,8.06,23.13,2.56,0,3.5,1.01,0.74,9.71,0.03,0,0,0,0,0,0,0,0,51.9,107.88,0,3
7845,9.39,25.95,2.89,0,3.81,1.04,1,6.05,0.02,0,0,0,0,0,0,0,0,60.4,120.22,0,3
7845.6,9.73,26.1,3.22,0,3.6,0.95,1.24,4.8,0.02,0,0,0,0,0,0,125.17,19.29,63.31,157.54,22.47,3
7846,8.67,25.54,2.81,0,3.56,1.09,0.91,6.44,0.03,0,0,0,0,0,0,0,0,54.47,137.02,0,3
7846.6,8.99,26.5,2.69,0,3.54,0.81,1.05,7.19,0.03,0,0,0,0,0,0,90.49,0,54.71,113.15,13.36,3
7847,9.16,26.08,2.69,0.43,3.88,1.67,1.19,6.72,0.03,0,0,0,0,0,0,89.62,17.17,56.65,113.19,26.06,3
7847.6,7.29,20.45,2.22,0,3.92,2.3,1,12.84,0.04,0,0,0,0,0,0,0,0,45.95,97.36,0,3
7848,9.32,25.29,2.71,0,4.79,2.69,0.99,7.09,0.03,0,0,0,0,105.92,0,90.41,15.82,54.9,106.66,36.73,3
